🚼, 1f6bc, 128700, baby-symbol
🛄, 1f6c4, 128708, baggage-claim
☑,  2611,   9745, ballot-box-with-check
‼,  203c,   8252, bangbang
⚫,  26ab,   9899, black-circle
🔲, 1f532, 128306, black-square-button
♋,  264b,   9803, cancer
🔠, 1f520, 128288, capital-abcd
♑,  2651,   9809, capricorn
💹, 1f4b9, 128185, chart
🚸, 1f6b8, 128696, children-crossing
🎦, 1f3a6, 127910, cinema
🆑, 1f191, 127377, cl
🕐, 1f550, 128336, clock1
🕙, 1f559, 128345, clock10
🕥, 1f565, 128357, clock1030
🕚, 1f55a, 128346, clock11
🕦, 1f566, 128358, clock1130
🕛, 1f55b, 128347, clock12
🕧, 1f567, 128359, clock1230
🕜, 1f55c, 128348, clock130
🕑, 1f551, 128337, clock2
🕝, 1f55d, 128349, clock230
🕒, 1f552, 128338, clock3
🕞, 1f55e, 128350, clock330
🕓, 1f553, 128339, clock4
🕟, 1f55f, 128351, clock430
🕔, 1f554, 128340, clock5
🕠, 1f560, 128352, clock530
🕕, 1f555, 128341, clock6
🕡, 1f561, 128353, clock630
🕖, 1f556, 128342, clock7
🕢, 1f562, 128354, clock730
🕗, 1f557, 128343, clock8
🕣, 1f563, 128355, clock830
🕘, 1f558, 128344, clock9
🕤, 1f564, 128356, clock930
㊗,  3297,  12951, congratulations
🆒, 1f192, 127378, cool
©,    a9,    169, copyright
➰,  27b0,  10160, curly-loop
💱, 1f4b1, 128177, currency-exchange
🛃, 1f6c3, 128707, customs
💠, 1f4a0, 128160, diamond-shape-with-a-dot-inside
🚯, 1f6af, 128687, do-not-litter
✴,  2734,  10036, eight-pointed-black-star
✳,  2733,  10035, eight-spoked-asterisk
🔚, 1f51a, 128282, end
⏩,  23e9,   9193, fast-forward
🆓, 1f193, 127379, free
♊,  264a,   9802, gemini
💟, 1f49f, 128159, heart-decoration
✔,  2714,  10004, heavy-check-mark
➗,  2797,  10135, heavy-division-sign
💲, 1f4b2, 128178, heavy-dollar-sign
➖,  2796,  10134, heavy-minus-sign
✖,  2716,  10006, heavy-multiplication-x
➕,  2795,  10133, heavy-plus-sign
🆔, 1f194, 127380, id
🉐, 1f250, 127568, ideograph-advantage
ℹ,  2139,   8505, information-source
⁉,  2049,   8265, interrobang
🔟, 1f51f, 128287, keycap-ten
🈁, 1f201, 127489, koko
🔵, 1f535, 128309, large-blue-circle
🔷, 1f537, 128311, large-blue-diamond
🔶, 1f536, 128310, large-orange-diamond
🛅, 1f6c5, 128709, left-luggage
↔,  2194,   8596, left-right-arrow
↩,  21a9,   8617, leftwards-arrow-with-hook
♌,  264c,   9804, leo
♎,  264e,   9806, libra
🔗, 1f517, 128279, link
Ⓜ,  24c2,   9410, m
🚹, 1f6b9, 128697, mens
🚇, 1f687, 128647, metro
📴, 1f4f4, 128244, mobile-phone-off
❎,  274e,  10062, negative-squared-cross-mark
🆕, 1f195, 127381, new
🆖, 1f196, 127382, ng
🚳, 1f6b3, 128691, no-bicycles
⛔,  26d4,   9940, no-entry
🚫, 1f6ab, 128683, no-entry-sign
📵, 1f4f5, 128245, no-mobile-phones
🚷, 1f6b7, 128695, no-pedestrians
🚭, 1f6ad, 128685, no-smoking
🚱, 1f6b1, 128689, non-potable-water
⭕,  2b55,  11093, o
🅾, 1f17e, 127358, o2
🆗, 1f197, 127383, ok
🔛, 1f51b, 128283, on
⛎,  26ce,   9934, ophiuchus
🅿, 1f17f, 127359, parking
〽,  303d,  12349, part-alternation-mark
🛂, 1f6c2, 128706, passport-control
♓,  2653,   9811, pisces
🚰, 1f6b0, 128688, potable-water
🚮, 1f6ae, 128686, put-litter-in-its-place
🔘, 1f518, 128280, radio-button
♻,  267b,   9851, recycle
🔴, 1f534, 128308, red-circle
®,    ae,    174, registered
🔁, 1f501, 128257, repeat
